,Phone_name,discounted_price,Actual_price,Discount_applied
462,GFive ultra smart,"Rs  2,999",,
463,GFive Lion,"Rs  3,350",,
464,Calme i14 Max,"Rs  4,099",,
465,Jazz Digit Shine 4G,"Rs  7,599",,
466,Digit E4 Pro 4G,"Rs  9,699",,
467,Itel P55,"Rs  22,999",,
468,Dcode Cygnal,"Rs  21,499",,
469,VGO TEL New 7,"Rs  6,299",,
470,VGO TEL NEW 20,"Rs  18,299",,
471,me Mobile L108,"Rs  2,799",,
472,me Mobile Magic Sound,"Rs  2,699",,
473,me Mobile Magic Star Pro,"Rs  2,699",,
474,me Mobile M6310,"Rs  2,749",,
475,XMobile SL100 Plus Lite,"Rs  3,999",,
476,E-Tachi B105,"Rs  2,599",,
477,E-Tachi E200,"Rs  3,799",,
478,Club Mobile Ali Baba,"Rs  2,699",,
479,Club Mobile Music 400,"Rs  3,299",,
480,Honor 90,"Rs  151,899",,
481,Honor X9a,"Rs  122,499",,
482,Apple iPhone 14 Pro Max,"Rs  499,999",,
483,QMobile Gabbar,"Rs  3,799",,
484,Qmobile Music Ka Sultan Pro,"Rs  3,999",,
485,Q130 classic,"Rs  2,465",,
486,Qmobile Qneo,"Rs  2,649",,
487,Qmobile Qplay,"Rs  2,449",,
488,Infinix Hot 30 Play,"Rs  23,499",,
489,Infinix Note 30 Pro,"Rs  45,999",,
490,Nokia 130 (2024),"Rs  6,499",,
491,Motorola Moto G23,"Rs  32,999",,
492,Tecno Phantom V Fold,"Rs  312,999",,
493,GFive G550 Power,"Rs  3,299",,
494,GFive Boss,"Rs  3,099",,
495,Gfive Fire,"Rs  3,199",,
496,Gfive Pro Max,"Rs  3,299",,
497,Calme C251,"Rs  3,399",,
498,Calme Hero 4G,"Rs  9,599",,
499,ZTE Blade V50 Design,"Rs  27,999",,
500,Dcode Cygnal 3,"Rs  19,799",,
501,VGO TEL i252,"Rs  3,999",,
502,VGO TEL Note 24,"Rs  28,299",,
503,VGO-TEL Easy 200,"Rs  2,549",,
504,me Mobile M-1110 Lite,"Rs  2,425",,
505,me Mobile Magic Max,"Rs  2,799",,
506,E-Tachi 4 Star,"Rs  4,199",,
507,E-Tachi E7i,"Rs  3,799",,
508,Club Mobile Muzik 4,"Rs  3,699",,
509,Club Mobile Ali Baba 1,"Rs  2,699",,
510,Gionee Q23,"Rs  3,299",,
511,Sparx Neo 8 Plus,"Rs  21,299",,
512,KXD Classic core A07,"Rs  18,499",,
513,Nokia 150 (2020),"Rs  9,499",,
514,Nokia 110 4G,"Rs  5,999",,
515,Nokia 150 (2023),"Rs  8,999",,
516,Infinix Hot 12,"Rs  23,299",,
517,Infinix Hot 12 Play,"Rs  28,299",,
518,Samsung Galaxy A53 5G,"Rs  92,999",,
519,Xiaomi Redmi Note 12S,"Rs  74,999",,
520,Tecno Camon 18 Premier,"Rs  74,999",,
521,Tecno Camon 18P,"Rs  45,499",,
522,Tecno Camon 19 Pro,"Rs  49,999",,
523,Tecno Camon 20,"Rs  41,999",,
524,Gionee Q26,"Rs  3,499",,
525,X-CELL XL-602,"Rs  2,699",,
526,GFive Champ,"Rs  3,599",,
527,XMobile X2 Selfie,"Rs  2,899",,
528,Xmobile X50,"Rs  3,799",,
529,Club Mobile A9 Victory,"Rs  3,299",,
530,Club Mobile A95 Plus,"Rs  3,599",,
531,Club Mobile Maula Jutt,"Rs  3,699",,
532,Faywa L7,"Rs  2,549",,
533,Faywa L9,"Rs  2,599",,
534,Faywa Dhoom,"Rs  3,325",,
535,Itel Magic 3,"Rs  5,499",,
536,Dcode X,"Rs  46,199",,
537,AllCall Hero 20 Max,"Rs  20,979",,
538,QMobile E400 Pro,"Rs  3,119",,
539,QMobile G3,"Rs  4,399",,
540,Qmobile E1000 Music,"Rs  3,749",,
541,Qmobile E4 Quad PRO,"Rs  3,599",,
542,Nokia 5710,"Rs  17,999",,
543,Infinix Hot 11 Play,"Rs  26,499",,
544,Infinix Hot 12i,"Rs  34,299",,
545,Infinix Smart 6 HD,"Rs  19,499",,
546,Vivo Y02t,"Rs  22,499",,
547,Vivo V29e,"Rs  71,499",,
548,Tecno Pop 5,"Rs  17,299",,
549,Tecno POP 5 LTE,"Rs  17,299",,
550,Tecno Camon 19 Neo,"Rs  36,999",,
551,Tecno Spark 9T,"Rs  27,999",,
552,GFive music 400,"Rs  3,099",,
553,Digit Bravo,"Rs  2,799",,
554,me Mobile L110,"Rs  1,599",,
555,me Mobile Power Star,"Rs  1,675",,
556,me Mobile DJ Master,"Rs  2,199",,
557,Xmobile D4 Ultra,"Rs  4,099",,
558,Xmobile Platinum 1000,"Rs  4,099",,
559,Club Mobile 105A,"Rs  2,599",,
560,Faywa L5,"Rs  2,649",,
561,Faywa Magic Star,"Rs  2,549",,
562,Faywa K13,"Rs  2,350",,
563,QMobile i4i,"Rs  7,999",,
564,Calme M17,"Rs  2,675",,
565,Qmobile Q105i,"Rs  2,415",,
566,Infinix Hot 20i,"Rs  24,999",,
567,Tecno Camon 20 Premier,"Rs  124,999",,
568,GFive Cobra,"Rs  3,099",,
569,CALME 4G Power,"Rs  8,999",,
570,Sparx Neo 6,"Rs  15,499",,
571,me Mobile Power Bold,"Rs  2,999",,
572,me Mobile L786,"Rs  2,899",,
573,XMobile SL100 Plus,"Rs  3,649",,
574,XMOBILE X1 PLAY,"Rs  3,299",,
575,Xmobile X101 Plus,"Rs  2,749",,
576,Xmobile X Flip,"Rs  3,564",,
577,E-Tachi E200 Lite,"Rs  3,899",,
578,Club Mobile A5000,"Rs  3,499",,
579,Faywa L2,"Rs  2,530",,
580,Faywa Music 400 Pro,"Rs  2,899",,
581,Faywa Music 400,"Rs  3,299",,
582,Samsung Galaxy S24 Ultra (12GB-1TB),"Rs  444,999",,
583,Tecno Camon 18T,"Rs  41,999",,
584,Tecno Pova Neo,"Rs  30,199",,
585,Tecno Spark 8 Pro,"Rs  38,199",,
586,Tecno Spark 8C,"Rs  21,999",,
587,Tecno Camon 19 Pro Mondrian,"Rs  64,999",,
588,VGO TEL I550,"Rs  3,599",,
589,GFive Crown,"Rs  2,325",,
590,GFive Hero,"Rs  3,249",,
591,GFive Speed,"Rs  2,799",,
592,Calme C106,"Rs  2,399",,
593,Calme C105,"Rs  2,699",,
594,me Mobile Power Max,"Rs  1,775",,
595,GRESSO G110,"Rs  3,099",,
596,Xmobile Battery Ka Badshah,"Rs  2,899",,
597,E- Tachi Mega Metal,"Rs  3,799",,
598,E-Tachi iPro Max,"Rs  4,799",,
599,Club Mobile A20,"Rs  3,499",,
600,Club Mobile 106,"Rs  2,599",,
601,Faywa SL100,"Rs  3,275",,
602,Faywa B1 Mini,"Rs  2,599",,
603,Samsung Galaxy A12,"Rs  24,999",,
604,QMobile Q130 Pro,"Rs  2,465",,
605,Nokia 106 (2018),"Rs  5,499",,
606,Tecno Pova Neo 2,"Rs  36,499",,
607,GFive Disco,"Rs  3,199",,
608,GFive Spark,"Rs  2,325",,
609,GFive Mega Music,"Rs  3,499",,
610,Calme C7 pro,"Rs  4,099",,
611,me mobile L101,"Rs  1,525",,
612,me Mobile L100,"Rs  1,450",,
613,me Mobile Power Music,"Rs  1,799",,
614,me Mobile L106 Pro,"Rs  1,999",,
615,VNUS Boss 1,"Rs  3,099",,
616,E-Tachi E888,"Rs  3,749",,
617,Club Mobile Music 110,"Rs  2,699",,
618,Faywa E1000 Party,"Rs  3,179",,
619,Faywa K115,"Rs  2,399",,
620,Faywa K14 (3 SIM),"Rs  1,849",,
621,itel Value 100s,"Rs  4,049",,
622,Dcode Bold,"Rs  29,999",,
623,GFive Baadshah 2.4,"Rs  2,999",,
624,Calme 4G Edge,"Rs  9,500",,
625,E-Tachi E550 mini,"Rs  2,475",,
626,Club Mobile Magic 3,"Rs  4,599",,
627,Faywa F110,"Rs  2,199",,
628,SparX Edge 20,Rs  0,,
629,Sparx ultra 8 pro,"Rs  33,993",,
630,Calme 4G king,"Rs  10,000",,
631,Calme 4G Spark,"Rs  9,950",,
632,Calme C108,"Rs  2,350",,
633,E-Tachi I pro Fold,"Rs  4,950",,
634,E-Tachi Ipro shine,"Rs  5,350",,
635,E-tachi Power 1000,"Rs  4,450",,
636,Nokia 100,"Rs  7,000",,
637,Itel it5209,"Rs  3,299",,
638,Calme 4G Smart,"Rs  9,999",,
639,Calme C5310,"Rs  2,000",,
640,Calme msuic500,"Rs  3,300",,
641,E-tachi I pro 15,"Rs  5,200",,
642,Calme C251 Lite,"Rs  2,999",,
643,Calme Ultra Lite S,"Rs  3,399",,
644,E-tachi B13 Vip,"Rs  2,899",,
645,GFive 4G Style,"Rs  6,999",,
646,Calme 4G LITE,"Rs  7,350",,
647,Calme 4G Prime,"Rs  10,500",,
648,Calme D105,"Rs  3,100",,
649,Calme M15,"Rs  2,300",,
650,Calme Sound Master,"Rs  3,200",,
651,E-Tachi E7 pro,Rs  0,,
652,E-Tachi B12 Star,"Rs  1,999",,
653,E-tachi E4 Hero,"Rs  3,075",,
654,E-tachi Ipro 4g,"Rs  9,999",,
655,E-tachi Ipro Ultra,"Rs  4,750",,
656,KXD Classic Core A10,"Rs  24,499",,
657,me Mobile L102,"Rs  1,385",,
658,Memobile E100,"Rs  2,250",,
659,X Mobile G3 Plus,"Rs  3,300",,
660,XMobile X4 Music,"Rs  3,000",,
661,XMobile X7 Power,"Rs  3,850",,
662,XMobile XStudio,"Rs  3,075",,
663,E-Tachi Star Light,"Rs  3,175",,
664,VGO TEL I700,"Rs  2,850",,
665,XMobile XStudio,"Rs  3,075",,
666,E-Tachi Star Light,"Rs  3,175",,
667,VGO TEL I800,"Rs  2,950",,
668,Memobile Hungama Max,"Rs  3,499",,
669,XMobile Xstudio pro,"Rs  3,299",,
670,Spice Muzik 400 Core,"Rs  2,550",,
671,Faywa F7,"Rs  2,800",,
672,VGO TEL I255,"Rs  2,200",,
673,VGO TEL i11,"Rs  2,900",,
674,Calme Classic,"Rs  2,600",,
675,Memobile Hungama Shine,"Rs  6,999",,
676,Faywa Magic 2,"Rs  2,175",,
677,Calme C888,"Rs  3,299",,
678,Memobile ismart,"Rs  3,198",,
679,Gresso SILK SLIM,"Rs  3,400",,
680,XMobile X6 Lite,"Rs  3,299",,
681,Calme C16,"Rs  2,999",,
